date,division,inflation
1990-01-01,09,0.8727355230308431
1991-01-01,09,2.644127515321193
1992-01-01,09,2.9226739824528947
1993-01-01,09,0.4635410302065379
1994-01-01,09,0.645823826914449
1995-01-01,09,2.5418780159638388
1996-01-01,09,3.275161513935565
1997-01-01,09,0.43302162458449533
1998-01-01,09,3.2047500638794357
1999-01-01,09,2.5511278516986424
2000-01-01,09,0.5478133840744581
2001-01-01,09,-0.09013881377321065
2002-01-01,09,0.22555034283651132
2003-01-01,09,0.6121163020973874
2004-01-01,09,-0.196832781605083
2005-01-01,09,0.5558045719408433
2006-01-01,09,0.7042881340821872
2007-01-01,09,1.3898725212464713
2008-01-01,09,1.7026106696935273
2009-01-01,09,1.5968406593406703
2010-01-01,09,1.3858374176102695
2011-01-01,09,1.9836639439906545
2012-01-01,09,1.1850277868584502
2013-01-01,09,0.08884581213148834
2014-01-01,09,1.6139444803098923
2015-01-01,09,1.7074332909783996
2016-01-01,09,2.5376747091434337
2017-01-01,09,1.8961315869631346
2018-01-01,09,-0.44839698079366386
2019-01-01,09,0.6756249530815994
2020-01-01,09,0.5145030199090295
2021-01-01,09,0.4525222551928776
2022-01-01,09,2.230263643748631
2023-01-01,09,1.4664451347251362
2024-01-01,09,1.8154634771465172
2006-01-01,10,1.6245984396512148
2007-01-01,10,1.7521676300577882
2008-01-01,10,2.3610864548198274
2009-01-01,10,2.32396808879638
2010-01-01,10,1.6949152542372836
2011-01-01,10,2.2333333333333316
2012-01-01,10,2.396478643625688
2013-01-01,10,2.4279573316351
2014-01-01,10,2.3548612730240004
2015-01-01,10,2.414578587699312
2016-01-01,10,2.1574733096085597
2017-01-01,10,1.640177081065386
2018-01-01,10,1.1353088182791904
2019-01-01,10,1.404970347359491
2020-01-01,10,1.0095383972707594
2021-01-01,10,0.12406947890819531
2022-01-01,10,1.1152416356877248
2023-01-01,10,1.85185185185186
2024-01-01,10,1.544117647058818
2006-01-01,11,3.6739610519975985
2007-01-01,11,3.7180480247869907
2008-01-01,11,6.57206870799103
2009-01-01,11,2.925718290119139
2010-01-01,11,2.127659574468077
2011-01-01,11,5.8666666666666645
2012-01-01,11,2.9675692695213973
2013-01-01,11,2.4386514792447134
2014-01-01,11,4.6417910447761335
2015-01-01,11,4.186278704892321
2016-01-01,11,2.7654185775891627
2017-01-01,11,2.504496103377085
2018-01-01,11,1.5140684904802137
2019-01-01,11,1.2290359749071778
2020-01-01,11,0.4426457569242537
2021-01-01,11,0.4029211785444353
2022-01-01,11,4.991221469776774
2023-01-01,11,5.5422838031533805
2024-01-01,11,3.1179266636486958
2011-01-01,12,0.15835972662110454
2012-01-01,12,1.2565532162769344
2013-01-01,12,1.5696909927679359
2014-01-01,12,1.4483372441135955
2015-01-01,12,4.099537406284881
2016-01-01,12,2.2831749923383438
2017-01-01,12,0.31460674157302027
2018-01-01,12,-1.1798088410991392
2019-01-01,12,-0.3551458364817961
2020-01-01,12,-0.0075832259042951655
2021-01-01,12,0.015167602002130742
2022-01-01,12,0.15923566878979223
2023-01-01,12,0.15141191611780513
2024-01-01,12,0.23433366089651297
1981-01-01,13,9.122557454534142
1982-01-01,13,2.3439484590418225
1983-01-01,13,6.4326047073794745
1984-01-01,13,1.577343214874527
1985-01-01,13,-0.055443182431813565
1986-01-01,13,1.3398554861744794
1987-01-01,13,0.6130318771226273
1988-01-01,13,1.8693016387237416
1989-01-01,13,2.6328202025964975
1990-01-01,13,2.934047462599354
1991-01-01,13,3.5725087215346285
1992-01-01,13,2.24859785049758
1993-01-01,13,2.663729324199826
1994-01-01,13,2.4076452781012003
1995-01-01,13,4.2150884785879805
1996-01-01,13,2.5106696314924903
1997-01-01,13,4.579948037868453
1998-01-01,13,7.003414712516598
1999-01-01,13,1.5254642838016697
2000-01-01,13,0.9335210001559124
2001-01-01,13,0.7243460764587706
2002-01-01,13,1.108669596484213
2003-01-01,13,1.2644472982317412
2004-01-01,13,1.8339674178128984
2005-01-01,13,1.5997700929207603
2006-01-01,13,2.2628700735432883
2007-01-01,13,0.9219988936013168
2008-01-01,13,3.3619587063767886
2009-01-01,13,3.685699133816489
2010-01-01,13,2.310118489472335
2011-01-01,13,2.3996000666555606
2012-01-01,13,1.9365337672904603
2013-01-01,13,0.3033205619412449
2014-01-01,13,0.6048066210409209
2015-01-01,13,4.152823920265791
2016-01-01,13,2.8708133971291794
2017-01-01,13,1.1664820967146605
2018-01-01,13,-1.4157483762679668
2019-01-01,13,0.377526093715308
2020-01-01,13,2.6474926253687414
2021-01-01,13,0.4885408434514016
2022-01-01,13,1.9804103810681317
2023-01-01,13,2.4747616376892934
2024-01-01,13,3.0033522610658725
